id,codigo,marca,nombre,precio
45,62,A BALANZA,BIFE ANGOSTO XKG,4149.0
9195,4,A BALANZA,TAPA PARRILLERA XKG,4799.0
8939,121163,A BALANZA,NALGA FETEADA XKG,7500.0
7039,121169,A BALANZA,PICADA MAGRA BOLA DE LOMO XKG,6850.0
7036,121160,A BALANZA,CHURRASCO PALETA XKG,5600.0
3701,2,A BALANZA,BIFE ANCHO XKG,4099.0
129,504,A BALANZA,TAPA DE ASADO XKG,4799.0
128,501,A BALANZA,ASADO AMERICANO XKG,5499.0
69,127,A BALANZA,MILANESAS DE CARNE XKG,6499.0
61,106,A BALANZA,SUPREMA DE POLLO REBOZADA XKG,3799.0
5,7,A BALANZA,TAPA DE NALGA XKG,5899.0
44,59,A BALANZA,BONDIOLA DE CERDO XKG,7199.0
33,41,A BALANZA,COSTILLITA DE CERDO XKG,4299.0
29,34,A BALANZA,CUADRADA XKG,6850.0
28,33,A BALANZA,NALGA XKG,6499.0
18,21,A BALANZA,COLITA DE CUADRIL XKG,7749.0
16,19,A BALANZA,CUADRIL XKG,7000.0
15,18,A BALANZA,PALOMITA XKG,4799.0
14,17,A BALANZA,PALETA XKG,5600.0
9,11,A BALANZA,VACIO XKG,7999.0
4319,3078,A BALANZA,DURAZNO ROJO XKG,1999.0
3620,2042,A BALANZA,LECHUGA CAPUCHINA XKG,650.0
3659,3034,A BALANZA,MELON ROCIO XUNIDAD,1850.0
3735,3040,A BALANZA,PELON XKG,2000.0
3866,2069,A BALANZA,TOMATE REDONDO X KG,650.0
3923,3038,A BALANZA,PALTA  DE CHILEXU,1300.0
4145,3035,A BALANZA,NARANJA XKG,950.0
4173,3004,A BALANZA,BANANA ECUADOR XKG,1750.0
4285,4084,A BALANZA,ANCO BATATA XKG,520.0
3592,3051,A BALANZA,SANDIA X KILO,600.0
4811,8055,A BALANZA,MANZANA CERVI ELEGIDA X KG,1500.0
5164,2058,A BALANZA,PAPA NEGRA,650.0
6764,990,A BALANZA,NUEZ X KG,8999.0
7814,9010,A BALANZA,GRANJA ALM.HUEVO BLANCO GDE X6U,815.0
8093,2045,A BALANZA,LECHUGA MANTECOSA XKG,999.0
8177,5099,A BALANZA,ZANAHORIA X KG,799.0
10316,2000,A BALANZA,ACELGA XU,260.0
11015,8350,A BALANZA,ALMENDRAS DE CHILEX KG,9999.0
178,2057,A BALANZA,PEPINO XKG,499.0
151,2009,A BALANZA,APIO XU,420.0
153,2012,A BALANZA,BERENJENA XKG,799.0
157,2023,A BALANZA,CEBOLLA XKG,499.0
160,2031,A BALANZA,CHOCLO XKG,1650.0
170,2044,A BALANZA,LECHUGA FRANCESA XKG,850.0
173,2047,A BALANZA,ARANDANOS CHILENO X125G,899.0
175,2050,A BALANZA,MORRON ROJO XKG,3800.0
176,2051,A BALANZA,MORRON VERDE XKG,2200.0
150,2008,A BALANZA,ANCO ELEGIDO XKG,450.0
181,2063,A BALANZA,RADICHETA XU,90.0
185,2068,A BALANZA,RUCULA XU,99.0
186,2071,A BALANZA,TOMATE PERITA XKG,499.0
188,2073,A BALANZA,VERDEO XKG,550.0
190,2077,A BALANZA,ZAPALLITO REDONDO XKG,600.0
202,3006,A BALANZA,CEREZA XKG,2800.0
208,3026,A BALANZA,MANDARINA MURCOTXKG,999.0
3538,2070,A BALANZA,TOMATE CHERRY XKG,999.0
8208,122231,INVENTARIABLES,AMSTEL CERVEZA LAGER X473CC,935.0
18049,150226,INVENTARIABLES,COCA COLA GASEOSA X2.5L,1899.0
18041,150227,INVENTARIABLES,COCA COLA ZERO X2.5L,1899.0
10572,101660,INVENTARIABLES,DON VALENTIN  VINO TTO VINT X750ML,1719.0
10505,124206,INVENTARIABLES,IMPERIAL GOLDEN CERVEZA LATA 710,1349.0
10267,124311,EL ABASTECEDOR,LOGROÃO DURAZNO E/MITADES X820G,1799.0
9427,100575,VARIOS,INCA ARVEJAS X350G,475.0
9060,112201,BODEGA VALENTIN BIANCHI,DON VALENTIN LACRADO BCO.X750CC,1719.0
8516,105322,INVENTARIABLES,CIF DETERGENTE GEL LIMON 500ML,1229.0
284,100581,EL ABASTECEDOR,ALA ARROZ LARGO FINO X500G,989.0
7999,122102,INVENTARIABLES,MILLER CERVEZA LATA 710CC,1489.0
6086,67000,BON MASE,CAJA NAVIDEÃA PREMIUM AZUL,7999.0
5220,116374,PRECIOS JUSTOS,LUX JABON LIQUIDO ORQ.NEG.REP.X220ML,605.0
4353,113357,INVENTARIABLES,ALA MATIC JAB.LIQUIDO D/P X3LT,4499.0
4254,114680,INVENTARIABLES,BIANCHI VINO FAMIGL.MALBEC X750CC,4499.0
665,102247,INVENTARIABLES,ODORONO DES.CREMA X60G,675.0
614,101956,S.C. JOHNSON&SON DE,RAID AZUL INSECTICIDA 380CC,3450.0
